"ENSG_id","SRR7351059","SRR7351063","SRR7351065","SRR7351060","SRR7351064","SRR7351066"
"ENSG00000021488",4,6,10,4,7,2
"ENSG00000021574",892,636,1087,1045,835,838
"ENSG00000021645",0,3,0,0,0,0
"ENSG00000021762",924,1428,923,1699,831,418
"ENSG00000021776",1349,1215,1072,1565,699,649
"ENSG00000021826",6,7,1,3,10,1
"ENSG00000021852",0,0,0,1,0,2
"ENSG00000022267",362,348,221,267,185,130
"ENSG00000022277",1989,1376,3109,1899,2082,2375
"ENSG00000022355",0,0,0,0,3,0
"ENSG00000022556",300,163,90,415,99,50
"ENSG00000022567",2696,1159,6092,1831,2564,4570
"ENSG00000022840",3503,3128,4938,4248,4255,5656
"ENSG00000022976",537,550,600,666,573,377
"ENSG00000023041",1167,1082,1077,1426,907,738
"ENSG00000023171",483,573,537,655,545,362
"ENSG00000023191",2464,3470,1655,3761,2051,1309
"ENSG00000023228",1417,1247,1230,1787,1055,813
"ENSG00000023287",2463,1756,3129,2176,1627,2310
"ENSG00000023318",1584,1595,1887,2063,1898,1426
"ENSG00000023330",845,873,1361,993,924,894
"ENSG00000023445",3633,4358,1532,4674,1877,465
"ENSG00000023516",1817,1861,1055,2146,920,527
"ENSG00000023572",70,103,78,121,59,59
"ENSG00000023608",55,113,44,56,96,23
"ENSG00000023697",373,420,311,537,339,209
"ENSG00000023734",1399,1386,652,1529,946,447
"ENSG00000023839",122,88,167,132,117,124
"ENSG00000023892",5315,4365,4744,6125,3925,3383
"ENSG00000023902",4571,5154,5070,5579,4843,2091
"ENSG00000023909",430,390,335,521,351,325
"ENSG00000024048",5849,3716,9809,5209,4898,5711
"ENSG00000024422",5,8,8,1,4,3
"ENSG00000024526",15,9,1,28,5,1
"ENSG00000024862",642,518,809,671,534,494
"ENSG00000025039",454,318,1029,425,529,884
"ENSG00000025156",300,323,147,309,155,56
"ENSG00000025293",1794,1344,1925,1829,1231,1214
"ENSG00000025423",4,6,2,10,10,0
"ENSG00000025434",71,135,160,119,135,101
"ENSG00000025708",6668,10806,7483,11110,11403,4635
"ENSG00000025770",773,810,431,940,461,237
"ENSG00000025772",263,183,194,379,146,89
"ENSG00000025796",1778,1696,1233,2108,1101,747
"ENSG00000025800",1249,1200,1083,1613,832,767
"ENSG00000026025",24667,36355,31830,34696,29269,32189
"ENSG00000026036",89,92,37,126,50,27
"ENSG00000026103",2370,1804,3200,2567,3816,2178
"ENSG00000026297",6899,4117,11291,6677,4760,9605
"ENSG00000026508",9599,13319,8750,13173,11270,7427
"ENSG00000026559",17,36,4,23,8,0
"ENSG00000026652",637,799,437,815,484,230
"ENSG00000026751",2702,2085,955,5001,2078,285
"ENSG00000026950",10240,7408,9167,12940,9074,3990
"ENSG00000027001",107,113,40,134,49,11
"ENSG00000027075",3750,2423,1229,4733,1489,444
